id,review,rating,label,review_length,word_count,clean_review
12224156662,"Đóng gói tệ, vỡ chai bên trong, xà bông bị đổ ra rất nhiều",1,negative,58,14,"đóng gói_tệ , vỡ chai bên trong , xà_bông bị đổ ra rất nhiều"
37037405982,Bao bì:ko rõ Lợi ích:lâu trôi chống nắng tốt Kinh nghiệm sử dụng:giữ ẩm tầm 4h  Chống nắng tốt đóng gói chắc chắn mà s k có quà tặng,3,negative,132,29,bao_bì không rõ lợi_ích lâu trôi chống nắng tốt kinh_nghiệm sử_dụng giữ ẩm tầm 4 h chống nắng tốt đóng_gói chắc_chắn mà s không có quà tặng
19178778076,"Làm đẹp:chống nắng Bao bì:ok Lợi ích:không nâng tone, thấm nhanh gọn  Chất lượng sản phẩm tuyệt vời. Giao hàng nhanh, đóng gói kĩ. Mọi người nên mua nha",5,positive,152,29,"làm_đẹp chống nắng bao_bì ổn lợi_ích không nâng tone , thấm nhanh gọn chất_lượng sản_phẩm tuyệt_vời . giao hàng nhanh , đóng_gói kĩ . mọi người nên mua nha"
69863430941,"Mùi hương:thơm  Hehe mình thấy chai berry candy rất hợp gu mình lunn áa Siu mê, mn nên thử nghenn  Hương của nó kiểu ngọt ngọt mà dễ chịu lắm Còn creamy baby thì nó kiểu dịu dịu với thanh lịch sao ấy  Nói chung là siuu ưng còn đc tặng quà nữa tranh thủ mua đi các cậu ơiiii",5,positive,273,60,"mùi hương_thơm hehe mình thấy chai berry candy rất hợp_gu mình lunn_áa siu_mê , mọi người nên thử nghenn_hương của nó kiểu ngọt_ngọt mà dễ_chịu lắm còn creamy_baby thì nó kiểu dịu_dịu với thanh_lịch sao ấy nói_chung là siuu ưng còn được tặng quà nữa tranh_thủ mua đi các cậu ơii"
32062420353,Hiệu ứng làm đẹp:che phủ k dc tốt có nghe review xong mua về mà thất vọng  Màu 120 mà sao nó tối lắm đánh vào vàng hết da luôn như bị gan mà lỡ thử rồi đổi cg chả dc. Có ai muốn mua mình tặng luôn ib mình ở HN 0866486820,2,negative,220,53,hiệu_ứng làm_đẹp che_phủ không được tốt có nghe review xong mua về mà thất_vọng màu 120 mà sao nó tối lắm đánh vào vàng hết da luôn như bị gan mà lỡ thử rồi đổi cg_chả được . có ai muốn mua mình tặng luôn ib mình ở hn 0866486820
77321670504,"Chán kinh ra, đã hủy 2 đơn hàng Tik Tok do vỡ rách chảy nước ra rồi, cuối cùng sang Shopee vẫn bị rách chảy nước, thúi um. Đơn vị vận chuyển lm ăn chán thực sự",1,negative,159,37,"chán kinh ra , đã hủy 2 đơn hàng tik tok do vỡ_rách chảy nước ra rồi , cuối_cùng sang shopee vẫn bị rách chảy nước , thúi_um . đơn_vị vận_chuyển lm ăn_chán thực_sự"
81362786130,"Cầm cx êm, nch là k bị quá lỏng đầu nên viết chắc hơn cái bút vietloi kia của t",3,positive,79,20,"cầm cx êm , nch là không bị quá lỏng đầu nên viết chắc hơn cái bút vietloi kia của t"
75995016457,"Dầu dưỡng tóc thơm nhẹ dễ chịu, giữ mùi lâu, bóng tóc, tốt , dễ sử dụng , thoa xong tay ko co dầu bám dính , giao hàng nhanh",5,positive,124,30,"dầu_dưỡng tóc thơm_nhẹ dễ_chịu , giữ mùi lâu , bóng tóc , tốt , dễ sử_dụng , thoa xong tay_không co_dầu bám dính , giao hàng nhanh"
78507727790,"Thấy mọi ng review nhiều nên mình đặt về thử nha , dùng thử nếu ok sẽ fback",5,positive,75,18,"thấy mọi ng review nhiều nên mình đặt về thử_nha , dùng thử nếu ổn sẽ fback"
91069495215,Bao bì:oong hut bị bể cả thùng lun mà shop phản hồi thấy ghét,1,negative,61,14,bao_bì oong hut bị bể cả thùng lun mà shop phản_hồi thấy ghét
91317609822,"Hàng mall mà tưởng đâu hàng vỉa hè ko. Chai nền cũ, seal đã bị bóc. Mùi hắc cồn, kem lỏng có lợn cợn gì ấy, mình thuộc da ngăm mạnh mà đánh lên da tối mất mấy tông.",1,negative,164,39,"hàng mall mà tưởng đâu hàng vỉa_hè không . chai nền cũ , seal đã bị bóc . mùi hắc cồn , kem lỏng có lợn_cợn gì ấy , mình thuộc da ngăm mạnh mà đánh lên da tối mất mấy tông ."
73956719300,Gui hang ko kem qua tặng  Ko đúng quang cáo  Cho shop 1 sao,1,negative,59,14,gui hang không kem qua tặng không đúng quang_cáo cho shop 1 sao
84874997599,"Chất lượng:Tot Giữ nhiệt:Tot Thiết kế:Dep  Ê bình này xinh cực, này mình mua về làm quà tặng nên không có review về giữ nhiệt được nhưng mà đóng gói bình cũng okela lắm nha. Shop soạn hàng và giao hàng nhanh lắm",5,positive,211,43,"chất_lượng tot giữ nhiệt_tot thiết_kế dep ê_bình này xinh_cực , này mình mua về làm_quà tặng nên không có review về giữ nhiệt được nhưng_mà đóng_gói bình cũng okela lắm nha . shop soạn hàng và giao hàng nhanh lắm"
15587890913,Độ tuổi sử dụng:1-3t Chất lượng sản phẩm:ok Bao bì/Mẫu mã:méo  Mua hàng có shop nhiều lần nào cũng bọc chống sốc rất cẩn thận mà lần này mua hộp to mà shop khônb bọc cho dẫn tới bên vận chuyển làm móp méo hết cả hộp sữa.,2,negative,220,48,độ tuổi sử_dụng 1 3 t chất_lượng sản_phẩm ổn bao_bì mẫu_mã méo mua hàng có shop nhiều lần nào cũng bọc chống sốc rất cẩn_thận mà lần này mua hộp to mà shop khônb_bọc cho dẫn tới bên vận_chuyển làm móp_méo hết cả hộp sữa .
18331058114,Hàng móp méo tùm lum lưu ý nhắc các bạn mua coi chừng bị lộn đây là thùng nhỏ không phải thùng to  hộp bé tí ti￼,1,negative,112,27,hàng móp méo tùm_lum lưu_ý nhắc các bạn mua coi_chừng bị lộn đây là thùng nhỏ không phải thùng to hộp_bé tí_ti
11037766172,Hạn sử dụng gần quá . còn có 4tháng .ít nhất phải còn 6thang mới được gửi hàng cho khách chứ . sữa còn có 4thang mà cũng ship .shop đợt này càng ngày làm càng chán chắc bỏ mua của shop quá,3,negative,188,43,hạn sử_dụng gần quá . còn có 4 tháng . ít_nhất phải còn 6 thang mới được gửi hàng cho khách chứ . sữa còn có 4 thang mà cũng ship . shop đợt này càng ngày làm càng chán chắc bỏ mua của shop quá
26382862656,"Hình ảnh mang tính chất minh họa, chất lượng tốt, biết thẳng 5 sao",5,positive,66,14,"hình_ảnh mang tính_chất minh_họa , chất_lượng tốt , biết thẳng 5 sao"
16444867711,Hương vị:vani Bao bì/Mẫu mã:đóng gói cẩn thận không bị trầy xước  Lần thứ ba mua của shop nói chung tốt hsd xa,5,positive,110,23,hương_vị vani bao_bì mẫu_mã đóng_gói cẩn_thận không bị trầy_xước lần thứ ba mua của shop nói_chung tốt hsd xa
77973169525,"Mùi hương:Thơm Công dụng:sạch da Phù hợp với loại da:đã mụn  Hình ảnh chỉ mang tính chất nhận xử ,shop giao hàng nhanh chóng, chưa được hfwgjvvfgjyhh",5,positive,149,27,"mùi hương_thơm công_dụng sạch_da phù_hợp với loại da đã mụn hình_ảnh chỉ mang tính_chất nhận xử , shop giao hàng nhanh_chóng , chưa được hfwgjvvfgjyhh"
